iter	Logloss
0	0.6334848297
1	0.5947405817
2	0.561039122
3	0.5412716853
4	0.5234455039
5	0.5107488526
6	0.4988466437
7	0.4909464089
8	0.481026799
9	0.4728152736
10	0.4667352661
11	0.4623462237
12	0.4582669689
13	0.453811573
14	0.4517332127
15	0.447609503
16	0.4441851222
17	0.4416574113
18	0.4339819341
19	0.4303729249
20	0.4285220956
21	0.426070465
22	0.4242663444
23	0.4222769661
24	0.4205494135
25	0.4174436419
26	0.4164919524
27	0.4141937058
28	0.4128793062
29	0.4114480466
30	0.4089081609
31	0.4076797568
32	0.4055484877
33	0.4041696349
34	0.403398041
35	0.4025022487
36	0.4009034365
37	0.400461037
38	0.3987447867
39	0.397878831
40	0.3970798834
41	0.3964313566
42	0.3949468023
43	0.3936894193
44	0.3930714549
45	0.3923591211
46	0.3918290502
47	0.3911969018
48	0.3905216346
49	0.3899085516
50	0.3889809858
51	0.3880942435
52	0.3871181482
53	0.3864668811
54	0.3849833433
55	0.3844981839
56	0.3841657749
57	0.3835458788
58	0.3820875603
59	0.3808077897
60	0.3804276073
61	0.3799298432
62	0.3794540462
63	0.3786640913
64	0.3782223519
65	0.3770996753
66	0.3764879779
67	0.3757324139
68	0.3751598489
69	0.3741503591
70	0.3737628511
71	0.3734492544
72	0.3730053448
73	0.3724350074
74	0.3717249006
75	0.3710775809
76	0.3701605326
77	0.3697357358
78	0.3686010364
79	0.368153921
80	0.3677197645
81	0.3672863908
82	0.365706513
83	0.3648716646
84	0.3639098624
85	0.3634651215
86	0.3628641782
87	0.3624922524
88	0.3619587741
89	0.3614716349
90	0.3610096116
91	0.3597776086
92	0.3593391195
93	0.3587151081
94	0.3580437134
95	0.3576581439
96	0.3572465242
97	0.3562301094
98	0.3555395948
99	0.3550588552
100	0.3545789486
101	0.3539873997
102	0.353677913
103	0.3532674811
104	0.3529257318
105	0.3525566664
106	0.3520421732
107	0.3516413498
108	0.351271402
109	0.3508672986
110	0.3506632995
111	0.3503297025
112	0.3498117362
113	0.3493463687
114	0.3489893972
115	0.3486579434
116	0.3484578842
117	0.3479785734
118	0.3475640956
119	0.3471354736
120	0.3467991167
121	0.3464029199
122	0.346116613
123	0.3457424556
124	0.3453251446
125	0.3451319623
126	0.3444472895
127	0.3441736387
128	0.3436932547
129	0.3433010834
130	0.3431467617
131	0.3429999915
132	0.3427560608
133	0.3423375251
134	0.342047586
135	0.3417655931
136	0.3410557854
137	0.3409366934
138	0.3406702293
139	0.3400356007
140	0.3398878707
141	0.3396627006
142	0.3393325017
143	0.3390590557
144	0.3386766398
145	0.3385076607
146	0.3382488645
147	0.3377836438
148	0.3373568579
149	0.3370695053
150	0.3366957792
151	0.3364894139
152	0.3359582167
153	0.3355188996
154	0.3351485864
155	0.3346779468
156	0.3338703621
157	0.3334275975
158	0.3332914329
159	0.3330244895
160	0.3327468248
161	0.3325677552
162	0.3323871637
163	0.3321348675
164	0.3320253827
165	0.3317982961
166	0.3312456724
167	0.3310424235
168	0.3307408739
169	0.3304668278
170	0.3291939879
171	0.328780038
172	0.3283440815
173	0.3281507251
174	0.3279517076
175	0.3278190061
176	0.3274716012
177	0.327067034
178	0.3266039723
179	0.326328142
180	0.326148115
181	0.325463094
182	0.3252526159
183	0.3247647292
184	0.324354289
185	0.3241589565
186	0.324040967
187	0.3235730705
188	0.3233514595
189	0.3229199824
190	0.3227230431
191	0.3223661422
192	0.3220976681
193	0.321940962
194	0.321757265
195	0.3214692116
196	0.3213143449
197	0.3208839502
198	0.3204687085
199	0.3202096086
