iter	Passed	Remaining
0	2	469
1	4	414
2	5	386
3	8	412
4	11	449
5	14	458
6	17	475
7	19	474
8	21	461
9	23	446
10	25	442
11	27	432
12	29	430
13	31	421
14	33	413
15	35	408
16	37	404
17	39	398
18	41	394
19	43	388
20	45	387
21	47	385
22	49	380
23	51	376
24	53	372
25	54	367
26	56	364
27	58	359
28	60	356
29	62	352
30	64	349
31	65	345
32	67	341
33	69	337
34	70	333
35	72	330
36	74	329
37	76	327
38	78	324
39	80	321
40	81	317
41	83	314
42	85	311
43	86	308
44	88	305
45	90	303
46	92	302
47	94	300
48	96	298
49	98	295
50	100	292
51	101	289
52	103	286
53	105	284
54	107	283
55	109	280
56	111	278
57	112	276
58	114	273
59	116	270
60	117	268
61	119	265
62	121	263
63	123	261
64	124	259
65	126	256
66	128	254
67	129	252
68	131	249
69	133	247
70	134	244
71	136	242
72	138	240
73	140	238
74	141	236
75	143	234
76	145	231
77	146	229
78	148	227
79	150	225
80	151	223
81	154	221
82	155	219
83	157	217
84	158	215
85	160	212
86	162	210
87	163	208
88	165	206
89	167	204
90	169	202
91	171	201
92	173	199
93	174	196
94	176	194
95	177	192
96	179	190
97	181	188
98	182	186
99	184	184
100	186	183
101	188	181
102	191	180
103	193	178
104	195	176
105	197	175
106	199	173
107	202	172
108	204	170
109	206	168
110	207	166
111	210	165
112	211	163
113	213	161
114	215	159
115	217	157
116	219	155
117	221	153
118	222	151
119	224	149
120	226	147
121	228	145
122	229	143
123	231	141
124	233	139
125	235	138
126	236	136
127	238	134
128	240	132
129	241	130
130	243	128
131	245	126
132	246	124
133	248	122
134	250	120
135	252	118
136	253	116
137	255	114
138	257	112
139	258	110
140	260	109
141	262	107
142	263	105
143	265	103
144	267	101
145	269	99
146	271	97
147	272	95
148	274	93
149	276	92
150	277	90
151	279	88
152	280	86
153	283	84
154	285	82
155	287	81
156	289	79
157	291	77
158	292	75
159	294	73
160	296	71
161	298	70
162	300	68
163	302	66
164	304	64
165	306	62
166	308	60
167	310	59
168	312	57
169	314	55
170	316	53
171	317	51
172	320	49
173	322	48
174	324	46
175	326	44
176	328	42
177	329	40
178	331	38
179	333	37
180	335	35
181	338	33
182	339	31
183	341	29
184	343	27
185	345	25
186	347	24
187	348	22
188	350	20
189	352	18
190	353	16
191	355	14
192	356	12
193	358	11
194	360	9
195	362	7
196	363	5
197	365	3
198	367	1
199	368	0
